location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200209T1900,10.670529,54.0,47.131138,214.41837
20200209T2000,10.580529,55.0,52.28806,218.29016
20200209T2100,10.440529,56.0,55.381527,218.1363
20200209T2200,10.130529,58.0,61.09614,224.52255
20200209T2300,9.960529,59.0,62.3798,226.16914
20200210T0000,9.880529,61.0,62.65448,226.86263
20200210T0100,9.950529,62.0,60.95917,228.59126
20200210T0200,9.960529,64.0,58.26219,230.01312
20200210T0300,10.980529,63.0,62.40888,235.5766
20200210T0400,11.760529,62.0,65.44677,238.49574
20200210T0500,11.210529,69.0,58.813465,245.78824
20200210T0600,10.510529,74.0,51.43466,254.99109
20200210T0700,9.600529,75.0,47.873234,257.84506
20200210T0800,8.810529,77.0,48.22522,263.14023
20200210T0900,8.510529,75.0,49.763405,266.68222
20200210T1000,8.460529,72.0,49.15022,264.95755
